Gene,Raw_pct_detected,Clean_pct_detected,Delta_pct,Raw_mean_expr,Clean_mean_expr,Low_Expr_Raw,Low_Expr_Clean
CD3D,11.99022453031923,11.929127844814419,-0.06109668550481118,0.19489843,0.19398198,661,658
CD3E,28.761264701389948,28.211394531846643,-0.5498701695433041,0.6066901,0.5964564,1393,1365
CD3G,7.346876431953567,7.346876431953567,0.0,0.12799756,0.12799756,389,389
TRAC,9.424163739117153,9.424163739117153,0.0,0.12417901,0.12417901,580,580
CD79A,3.2686726745074077,3.2686726745074077,0.0,0.034977853,0.034977853,212,212
IGHG1,0.7178860546815335,0.7178860546815335,0.0,0.0071788607,0.0071788607,47,47
IGKC,12.647013899495951,11.2876126470139,-1.3594012524820513,0.17000152,0.15029785,789,708
MS4A1,1.6954330227585153,1.6954330227585153,0.0,0.018176263,0.018176263,110,110
NCAM1,16.480830914922866,16.480830914922866,0.0,0.2193371,0.2193371,1000,1000
NKG7,99.66396822972354,99.63341988697113,-0.030548342752410917,20.811975,20.75989,91,91
GNLY,98.16709943485566,98.04490606384604,-0.12219337100961525,27.729647,27.170918,171,177
KLRB1,86.05468153352682,86.05468153352682,0.0,3.9268367,3.9268367,1780,1780
